,movie_name,song_name,lyrics
0,Aadavari_Matalaku_Ardhalu_Veruley,Allantha_Doorala,"అల్లంత  దూరాల  ఆ  తారక
కళ్ళెదుట  నిలిచిందా  ఈ  తీరుగా
అరుదైన  చిన్నారిగా
కోవెల్లో  దేవేరిగా
గుండెల్లో  కొలువుండగా
భూమి  కనలేదు  ఇన్నాళ్ళుగా
ఈమెలా  వున్న  ఏ  పోలిక
అరుదైన  చిన్నారిగా
కోవెల్లో  దేవేరిగా
గుండెల్లో  కొలువుండగా
అల్లంత  దూరాల  ఆ  తారక
కళ్ళెదుట  నిలిచిందా  ఈ  తీరుగా
కన్యాదానంగా  ఈ  సంపద
చేపట్టే  ఆ  వరుడు  శ్రీహరి  కాడా
పొందాలనుకున్నా  పొందే  వీలుందా
అందరికి  అందనిదీ  సుందరి  నీడ
ఇందరి  చేతులు  పంచిన  మమత
పచ్చగ  పెంచిన  పూవులతో
నిత్యం  విరిసే  నందనమవగా
అందానికే  అందమనిపించగా
దిగి  వచ్చెనో  ఏమో  దివి  కానుక
అరుదైన  చిన్నారిగా
కోవెల్లో  దేవేరిగా
గుండెల్లో  కొలువుండగా
తన  వయ్యారంతో  ఈ  చిన్నది
లాగిందో  ఎందరిని  నిలబడనీక
ఎన్నో  ఒంపుల్తో  పొంగే  ఈ  నది
తనే  మదిని  ముంచిందో  ఎవరికి  ఎరుక
తొలి  పరిచయమొక  తీయని  కలగా
నిలిపిన  హృదయమే  సాక్షిగా
ప్రతి  జ్ఞాపకం  దీవించగా
చెలి  జీవితం  వెలిగించగా
అల్లంత  దూరాల  ఆ  తారక
కళ్ళెదుట  నిలిచిందా  ఈ  తీరుగా"
1,Aadavari_Matalaku_Ardhalu_Veruley,Manasa_Manninchavamma,"మనసా  మన్నించమ్మా
మార్గం  మళ్ళించమ్మా
నీతో  రాని  నిన్నల్లోనే
శిలవై  ఉంటావా
స్వప్నం  చెదిరిందమ్మా
సత్యం  ఎదురుందమ్మా
పొద్దే  లేని  నిద్దర్లోనే
నిత్యం  వుంటావా
ప్రేమ  ప్రేమ  నీ  పరిచయం
పాపం  అంటే  కాదనలేవా
ప్రేమ  ప్రేమ  నీ  పరిచయం
పాపం  అంటే  కాదనలేవా
ప్రేమాలయంలా  వుంటే  నీ  తలపు
ప్రేమే  దైవంలా  కొలువుంటుందమ్మా
దావానలంలా  తరిమే  నిట్టూర్పు
ప్రేమను  నీ  నుంచి  వెలివేస్తుందమ్మా
అంత  దూరం  ఉంటేనే
చందురుడు  చల్లని  వెలుగమ్మ
చెంతకొస్తే  మంటేలే
అందడని  నిందించొద్దమ్మా
మన  క్షేమం  కోరుకునే
జాబిలే  చెలిమికి  చిరునామా
తన  సౌఖ్యం  ముఖ్యమనే
కాంక్షలో  కలవరపడకమ్మా
ప్రేమ  ప్రేమ  నీ  స్నేహమే
తీయని  శాపం  మన్నిస్తావా
ఒక  చినుకునైన  దాచడు  తనకోసం
నేలకు  నీరిచ్చి  మురిసే  ఆకాశం
నదులన్నీ  తానే  తాగే  ఆరాటం
కడలికి  తీర్చేనా  దాహం  ఏ  మాత్రం
పంజరంలో  బంధించి
ఆపకే  నేస్తాన్నేనాడు
పల్లకిపై  పంపించి
చల్లగ  దీవించవే  నేడు
జ్ఞాపకంలో  తియ్యదనం
చేదుగా  మార్చవ  కన్నీళ్లు
జీవితంలో  నీ  పయనం
ఇక్కడే  ఆపకు  నూరేళ్ళు
ప్రేమ  ప్రేమ  మదిలో  భారం
కరిగించేలా  ఓదార్చవా"
2,Aaha,Manasaina,"మనసైన  నా  ప్రియా  కలిగేనా  నీ  దయా
కలలతో  కలలతో  కొత్తగా  కవినయా
మనసైన  నా  ప్రియా  కలిగేనా  నీ  దయా
కలలతో  కలలతో  కొత్తగా  కవినయా
మనసైన  నా  ప్రియా
ఉదయించిందమ్మా  హృదయంలో  ప్రేమా
ఎదురయ్యిందమ్మా  సుధలున్నా  సీమ
నీ  నవ్వుల్లో  తొలిపొద్దే  చూసుంటా
కాకుంటే  లోకం  రోజులా  లేదే
నా  చుట్టూ  నిన్న  ఇంతందం  లేదే
ప్రతి  వారి  పెదవులపైనా
పక  పక  వీణ  ఇదివరికెపుడు  విన్నట్టే  లేదే
మనసైన  నా  ప్రియా  కలిగేనా  నీ  దయా
కలలతో  కలలతో  కొత్తగా  కవినయా
మనసైన  నా  ప్రియా
పొరపాటున  నువ్వు  పరిచయమవకుంటే
బ్రతుకంటే  అర్ధం  తెలిసేదే  కాదె
నడిరేయల్లే  రాయాళ్లే  నిలిచేదో
అనుకుందామన్నా  ఏదోలా  ఉందే
రేపంటూ  సున్నా  నీతో  నడవందే
మనమింకా  పుట్టాక  ముందే
ఇద్దరి  ప్రాణం  ఒక్కటి  చేసిన
ముడిపడి  ఉంటుందే
మనసైన  నా  ప్రియా  కలిగేనా  నీ  దయా
కలలతో  కలలతో  కొత్తగా  కవినయా
మనసైన  నా  ప్రియా  కలిగేనా  నీ  దయా
కలలతో  కలలతో  కొత్తగా  కవినయా
మనసైన  నా  ప్రియా  కలిగేనా  నీ  దయా"
3,Aaha,Priyuraali,"ఆ  ఆ  ఆ
ప్రియురాలి  అడ్రస్  ఏమిటో  చెప్పమ్మా  కాస్త  చెప్పమ్మా
జవరాలి  చిరునమేమిటో  చెప్పమ్మా  కాస్త  చెప్పమ్మా
ఆమె  సిగను  విరిసే  మల్లి  ఆమె  నుంచి  వీచే  గాలి
ఆమె  నిదుర  పోయేవేళ  జోల  పాడు  ఓ  జాబిల్లి
ఆమె  సిగను  విరిసే  మల్లి  ఆమె  నుంచి  వీచే  గాలి
ఆమె  నిదుర  పోయేవేళ  జోల  పాడు  ఓ  జాబిల్లి
చెప్పమ్మా  కాస్త  చెప్పమ్మా
చెప్పమ్మా  కాస్త  చెప్పమ్మా
ప్రియురాలి  అడ్రస్  ఏమిటో  చెప్పమ్మా  కాస్త  చెప్పమ్మా
జవరాలి  చిరునమేమిటో  చెప్పమ్మా  కాస్త  చెప్పమ్మా
నిదుర  నదిలో  ఆమె  కోసం  ఓహోహో
నడిరేయి  చాటున  మాటు  వెసా
కళల  వలలో  ఆమెరూపం  ఒహొహ్
పడగానే  వెంటనే  లేచి  చూసా
ఎరను  కొరికే  చిలిపి  చేప
కులుకు  వెనకే  కరిగిపోక
తెల్లారింది  యిట్టె  నేనేమో  తేలబోతూ  ఉంటే
మల్లి  మల్లి  ఇంతే  ప్రతి  రాత్రి  జరిగే  తంతే
మసక  తెరలు  తెరిచేదెవరమ్మా
ప్రియురాలి  అడ్రస్  ఏమిటో  చెప్పమ్మా  కాస్త  చెప్పమ్మా
కనులు  వెతికే  కన్నె  ఎవరో
వివరాలు  తేలని  మనసు  నాది
తనను  ఎవరో  పలకరిస్తే
నువ్వు  కాదు  పొమ్మని  అంటున్నది
జంటలెన్నో  కంటబడితే
వయసు  నన్ను  కసురుతోందే
భూమ్మిదింకా  తాను  పుట్టిందో  లేదో  బామ్మ
ఏమో  తెలియదు  గని
మది  ప్రేమించేసిందమ్మా
దీని  గొడవ  ఆపేదెవరమ్మా
ప్రియురాలి  అడ్రస్  ఏమిటో  చెప్పమ్మా  కాస్త  చెప్పమ్మా
జవరాలి  చిరునమేమిటో  చెప్పమ్మా  కాస్త  చెప్పమ్మా
ఆమె  సిగాను  విరిసే  మల్లి  ఆమె  నుంచి  వీచే  గాలి
ఆమె  నిదుర  పోయేవేళ  జోల  పాడు  ఓ  జాబిల్లి
ఆమె  సిగాను  విరిసే  మల్లి  ఆమె  నుంచి  వీచే  గాలి
ఆమె  నిదుర  పోయేవేళ  జోల  పాడు  ఓ  జాబిల్లి
చెప్పమ్మా  కాస్త  చెప్పమ్మా
చెప్పమ్మా  కాస్త  చెప్పమ్మా"
4,Aarya,Nuvvunte,యు  రాక్  మై
5,Aarya,O_My_Brotheru,"యు  రాక్  మై
ఓ  మై  బ్రదరు  చెబుతా  వినరో
వన్  సైడ్  లవ్వే  ర  ఎంతో  బెటరు
ఆ  నా  సలహాను  వింటే  ఎవరు
ఇక  పైన  ఎపుడు  మరి  మజును  లవర్
హే
ఐ  లవ్  యు  అన్న  పదం  గమనించారా  భాయ్
యు  లవ్  మీ  అని  అర్ధం  అక్కడ  లేదోయ్
ఐ  లవ్  యు  అన్న  పదం  గమనించారా  భాయ్
యు  లవ్  మీ  అని  అర్ధం  అక్కడ  లేదోయ్
ఓ  మై  బ్రదరు  చెబుతా  వినరో
వన్  సైడ్  లవ్వే  ర  ఎంతో  బెటరు
ఆ  నా  సలహాను  వింటే  ఎవరు
ఇక  పైన  ఎపుడు  మరి  మజును  లవర్
ఆవరు
హే  వన్  వే  రూట్  లో  వెళ్తే  సూటిగా
ఎవరు  ఎక్కడ  ఆపరు  గనక
వన్  సైడ్  ప్రేమనే  చేసేయ్  స్వేచ్ఛగా
ప్రేమను  ఇమ్మని  అడిగవు  గనుక
హే  మొదలు  పడి  మెదడు  చెడె
ట్రాజిక్  లవ్  కన్నా
అసలు  ఫెయిల్  అయ్యే  ఛాన్స్  లేని
వన్  సైడ్  లవ్  మిన్న
అరేయ్  ఏ  ట్రిక్కే  తెలిసుంటే  దేవదాసులైన
కుడి  ఎడమైతే  పతకాలు  గ్లాసు  దాసుడవన
ఓ  మై  బ్రదరు  హే  హే  హే
ఓ  మై  బ్రదరు  చెబుతా  వినరో
వన్  సైడ్  లవ్వే  ర  ఎంతో  బెటరు
ఆ   నా  సలహాను  వింటే  ఎవరు
ఇక  పైన  ఎపుడు  మరి  మజును  లవర్
హే  ఒకరా  ఇద్దర  కన్నుల  ముందర
తిరిగే  అప్సరసలు  ఎందరు  ఉన్న  ఓ
పరవాలేదు  ర  పరువేం  పోదురా
లైన్   సోదర  అందరి  మీద  ఓ
ఏ  ఒక్కరినో  ప్రేమ  భిక్ష  అడుక్కునే  కన్నా
ప్రతి  అందాన్ని  ప్రేమిస్తూ  సరదా  పడు  నాన్న
ఏ  లైలా  చేచిక్కడంటే  నన  హైరానా
ఒక  వేళా  ఒప్పుకుంటే  అది  కమిట్మెంట్  అవునా
ఓ  మై  బ్రదరు
ఓ  మై  బ్రదరు  చెబుతా  వినరో
వన్  సైడ్  లవ్వే  ర  ఎంతో  బెటరు
ఆ   నా  సలహాను  వింటే  ఎవరు
ఇక  పైన  ఎపుడు  మరి  మజును  లవరు
వన్  సైడ్  లవ్  వల్ల  మనకొచ్చే  లాభాలు  ఏంటీ
అది  చెబుతా  విను
అమ్మాయి  మనసుని  దోచేయాలని
ట్రిమ్ముగా  డ్రెస్సులు  వేయనక్కరలేదు
అది  ఇవ్వాలని  ఇది  ఇవ్వాలని
తీరని  అప్పులు చేయనక్కరలేదు
అరేయ్  సెల్  ఫోనులో  సొల్లు  కబురులు
చెప్పక్కరలేదు
ఏ  బైక్  పైన  షికారులకే  తిప్పక్కరలేదు
ఓ  కూల్  డ్రింక్లో  రెండు  స్ట్రాలు  పెట్టక్కరలేదు
ఓ  సినిమా  కి  టిక్కెట్లు  పెట్టక్కరలేదు
ఓ  మై  బ్రదరు  ఓఓఓ  ఏఈ
ఓ  మై  బ్రదరు  చెబుతా  వినరో
వన్  సైడ్  లవ్వే  ర  ఎంతో  బెటరు
ఆ   నా  సలహాను  వింటే  ఎవరు
ఇక  పైన  ఎపుడు  మరి  మజును  లవరు"
6,Aata,Aata,యేల యేలా
7,Aata,Hoyna,"యేల యేలా
ఓలియో  ఓలియో  హోరెత్తావే  గోదారి
ఎల్లువై  థుల్లవిలా  గట్టు  జారీ
ఓలియో  ఓలియో  ఊరేగావె  సింగారి
ఇంతకీ  యాడుందే  అత్తింటి  దారి
హొయినా  హొయినా  హొయినా
హొయినా  హొయినా  హొయినా
హొయినా  ఎం  చాందిని  రా
హొయినా  ఎం  చమ్మకుంది  రా
హొయినా  ఎం  మెరిసెను  రా  కన్నులార
హొయినా  వెన్నెల  నది  రా
హొయినా  వన్నెల  నిధి  రా
హొయినా  ఎం  కూలికెను  రా  కన్నె  తార
ఆ  కన్నుల్లో  కొలువై  ఉండేందుకు
నీలాకాశం  వాలదా
ఆ  గుండెల్లో  లోతుని  కొలిచేందుకు
సంద్రం  సెల  ఎరైంది  రా
హొయినా  ఎం  చాందిని  రా
హొయినా  ఎం  చమ్మకుంది  రా
హొయినా  ఎం  మెరిసెను  రా  కన్నులార
హొయినా  వెన్నెల  నది  రా
హొయినా  వన్నెల  నిధి  రా
హొయినా  ఎం  కూలికెను  రా  కన్నె  తార
హొయినా  హొయినా  హొయినా
హొయినా  హొయినా  హొయినా
హూ వగల  మారి  నావ
హొయలు  మీరి  నావ
అలల  ఊయలూగి   నావ
తళుకు  చూపినావ
తలపు  రేపినావా
కళల  వెంట  లాగి  నావ
ఓఓఓ
సరదా  మితి  మీరి
అడుగల్లె  మారి
సుడిలో  పడతోసే  అల్లరి
త్వరగా  సాగాలి
దరి  కె  చేరాలి
పడవ  పోదాం  పద  ఆగాకే  మరి
హొయినా  ఎం  చాందిని  రా
హొయినా  ఎం  చమ్మకుంది  రా
హొయినా  ఎం  మెరిసెను  రా  కన్నులార
హొయినా  వెన్నెల  నది  రా
హొయినా  వన్నెల  నిధి  రా
హొయినా  ఎం  కూలికెను  రా  కన్నె  తార
హూ  నీటిలోని  నీడ
చేతికందుతున్న
తాకి  చూడు  చెదిరిపోదా
గాలి  లోని  మేడ  మాయ  లేడి  కాదా
తరిమి  చూడు  దొరుకుతుందా
ఓఓఓ
చుక్కాని  దాన  చుక్కాని  కాన
నీ  చిక్కులన్నీ  దాటగా
వద్దు  అనుకున్న  వదలను  నెరజాణ
నేనే  నీ  జంట  అని  రాసి  వుంది  గా
హొయినా  ఎం  చాందిని  రా
హొయినా  ఎం  చమ్మకుంది  రా
హొయినా  ఎం  మెరిసెను  రా  కన్నులార
హొయినా  వెన్నెల  నది  రా
హొయినా  వన్నెల  నిధి  రా
హొయినా  ఎం  కూలికెను  రా  కన్నె  తార"
8,Aata,Ninu_Choosthunte,"యేల యేలా
హే  నిను  చూస్తుంటె  చెడి  పోతానె  తప్పనుకోవు  కదా
పొగిడావంటె  పడిపోతానె  తప్పని  గొడవ  కదా
పద  పద  అంటోందే  హాయ్  పదె  పదె  నీ  అందం
అహ  మహ  బాగుందే  హాయ్  మతె  చెడె  ఆనందం
ఉరకలెత్తె  యవ్వనం  తరుముతుంటె  కాదనం
సనం  ఓ  సనం  సనం  ఓ  సనం
హే  నిను  చూస్తుంటె  చెడి  పోతానె  తప్పనుకోవు  కదా
పొగిడావంటె  పడిపోతానె  తప్పని  గొడవ  కదా
తీగ  నడుము  కదా  తూగి  తడబడదా
రేకు  విరిసిన  సోకు  బరువుకు  సాయపడమనదా
ఆడ  మనసు  కదా  బైట  పడగలదా
అంత  సులువుగ  అంతు  దొరకదు  వింత  పొదుపు  కధా
కబురు  పంపిన  పైయదా  ఇపుడు  వెయ్యకు  వాయిదా
సనం  ఓ  సనం  సనం  ఓ  సనం
హే  నిను  చూస్తుంటె  చెడి  పోతానె  తప్పనుకోవు  కదా
పొగిడావంటె  పడిపోతానె  తప్పని  గొడవ  కదా
లేడి  కన్నులతొ  వగలాడి  వన్నెలతొ
కంటపడి  మహ  కొంటెగ  కవ్వించు  తుంటరివో
వాడి  తపనలతొ  మగవాడి  తహ  తహతొ
జంట  పడమని  వెంటపడి  వేధించు  తొందరవో
పెదవి  అంచున  ఆగిన  అసలు  సంగతి  దాగున
సనం  ఓ  సనం  సనం  ఓ  సనం
హే  నిను  చూస్తుంటె  చెడి  పోతానె  తప్పనుకోవు  కదా
పొగిడావంటె  పడిపోతానె  తప్పని  గొడవ  కదా"
9,Aata,Yela_Yela,యేల యేలా
