,song_name,movie_album,singers
4,Naa Chupe Ninu,Nuvvu Naaku Nachchav," Koti,  K. S. Chithra,  Shreeram Lagoo,  Prabhu"
7,Mallieswarivey,Yuvasena, Jassie Gift
9,Yeluko Nayaka,Narasimhudu," Mani Sharma,  Ganga,  Mallikarjun"
14,Samajavaragamana - Male,Ala Vaikunthapurramuloo, Sid Sriram
16,Balapam Patti,Bobbili Raja," Ilaiyaraaja,  K. S. Chithra,  S.P. Balasubrahmanyam"
21,Avunu Nijam,Athadu," KK,  Sunitha Upadrasta"
24,Botany,Shiva," S. P. Balasubrahmanyam,  S.P. Sailaja"
33,Kotha Kothaga,Coolie No. 1," S.P. Balasubrahmanyam,  K. S. Chithra"
39,Kanya Kumaari,Bobbili Raja," Ilaiyaraaja,  S. Janaki,  S.P. Balasubrahmanyam"
50,Kila Kila,Coolie No. 1," S.P. Balasubrahmanyam,  K. S. Chithra"
74,Kongupatte,Korukunna Priyudu," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
80,Neeti Mullai (Bit),Varsham," Devi Sri Prasad,  Sagar,  Sumangali"
83,Kottaga,Swarna Kamalam," S. P. Balasubrahmanyam,  S. Janaki"
87,Ghal Ghal (Akasam Thakela),Nuvvostanante Nenoddantana, S.P. Balasubrahmanyam
93,Chalore Chalore (Telugu),Jalsa, Ranjith
101,Emaindo Emo,Prematho Raa," Harini,  S.P. Balasubrahmanyam"
104,O Manasa O Manasa,Bhadra," Devi Sri Prasad,  Ravi Varma"
105,Chema Chekka,Bobbili Raja," Ilaiyaraaja,  K. S. Chithra,  S.P. Balasubrahmanyam"
109,Ekkadiki Nee Parugu,W/o V. Vara Prasad," S.P. Balasubrahmanyam,  Sujatha Mohan,  M.M. Sreelekha"
110,You &amp; I,Jalsa, Devi Sri Prasad
121,Nuvvu Naatho Emannavo,Disco Raja, S. P. Balasubrahmanyam
126,Kkokko Komali,Narasimha Naidu," Mani Sharma,  Udit Narayan,  Sujatha Mohan"
132,Sarasalu,Shiva," Mano,  S. Janaki"
