song_name,movie_album,singers
Gaali Vaaluga,Agnyaathavaasi, Anirudh Ravichander
Niluvaddham,Nuvvostanante Nenoddantana," Karthik,  Sumangali"
Chiguraku Chatu,Gudumba Shankar," S.P.B. Charan,  Sunitha Upadrasta"
Manasu Maree,V," Amit Trivedi,  Shashaa Tirupati,  Yazin Nizar"
Naa Chupe Ninu,Nuvvu Naaku Nachchav," Koti,  K. S. Chithra,  Shreeram Lagoo,  Prabhu"
Mellaga,Varsham," Devi Sri Prasad,  S.P. Charan,  Sumangali"
Muvvala Navakala,Pournamy," Devi Sri Prasad,  K. S. Chithra,  S.P. Balasubrahmanyam"
Mallieswarivey,Yuvasena, Jassie Gift
Niddura Potunna,Nuvve Nuvve," Koti,  Shankar Mahadevan"
Yeluko Nayaka,Narasimhudu," Mani Sharma,  Ganga,  Mallikarjun"
Vastha Nee Venuka,Naani," A.R. Rahman,  Harini,  Hariharan"
Sirivennela,Shyam Singha Roy - Telugu, Anurag Kulkarni
Alloneredu Kalla,Seenu," Mani Sharma,  K. S. Chithra,  Parthasarathy"
Neekosam Neekosam,Preyasi Raave," S.P. Balasubrahmanyam,  K. S. Chithra"
Samajavaragamana - Male,Ala Vaikunthapurramuloo, Sid Sriram
Manasa Palakave,Subhakankshalu," S. P. Balasubrahmanyam,  K. S. Chithra"
Balapam Patti,Bobbili Raja," Ilaiyaraaja,  K. S. Chithra,  S.P. Balasubrahmanyam"
Chiluka Kshemama,Rowdy Alludu," S.P. Balasubrahmanyam,  Chitra"
Cheppamma,Murari," Mani Sharma,  K. S. Chithra"
Cheppave Chirugali,Okkadu," Mani Sharma,  Udit Narayan,  Sujatha Mohan"
Badhulu Thochanai,Mr. Perfect," Devi Sri Prasad,  Karthik,  Mallikarjun"
Avunu Nijam,Athadu," KK,  Sunitha Upadrasta"
Andala Ada Bomma,Samarasimha Reddy," Mani Sharma,  Udit Narayan,  Sujatha Mohan"
Chitti Nadumune,Gudumba Shankar," Mallikarjun,  Premgi Amaren"
Botany,Shiva," S. P. Balasubrahmanyam,  S.P. Sailaja"
Tolisari Ninu,Preminchu," S. P. Balasubrahmanyam,  K. S. Chithra"
Allantha Doorala,Aadavari Matalaku Ardhalu Veruley," Yuvan Shankar Raja,  S.P. Balasubrahmanyam"
Netho Cheppana,Athadu," S. P. Balasubrahmanyam,  K. S. Chithra"
Naalo Unna Prema,Premante Idera," Ramana Gogula,  K. S. Chithra,  S.P. Balasubrahmanyam"
Jalsa Jalsa,Jalsa," Baba Sehgal,  Rita Thyagarajan"
My Heart,Jalsa, KK
Maha Muddu,Jai Chiranjeeva," Mani Sharma,  Shreya Ghoshal,  Karthik"
Life Of Ram,Jaanu, Pradeep Kumar
Kotha Kothaga,Coolie No. 1," S.P. Balasubrahmanyam,  K. S. Chithra"
Jabilamma Neeku Anta Kopama,Pelli," S.A. Raj Kumar,  S.P. Balasubrahmanyam"
Pileche,Khaleja," Mani Sharma,  Hemachandra,  Shweta Mohan,  Sirivennela Seetharama Sastry"
Thelusa Manasa,Criminal (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Rakhi Rakhi,Rakhi," Devi Sri Prasad,  Mamatha Mohandas"
